case,model,step,n_fixed,n_fixed_wallband,n_fixed_outer,n_moved,Eddy_Viscosity_band_scale,Eddy_Viscosity_band_rms_rel,Eddy_Viscosity_band_max_rel,Eddy_Viscosity_outer_scale,Eddy_Viscosity_outer_rms_rel,Eddy_Viscosity_outer_max_rel,Turb_Kin_Energy_band_scale,Turb_Kin_Energy_band_rms_rel,Turb_Kin_Energy_band_max_rel,Turb_Kin_Energy_outer_scale,Turb_Kin_Energy_outer_rms_rel,Turb_Kin_Energy_outer_max_rel,Omega_band_scale,Omega_band_rms_rel,Omega_band_max_rel,Omega_outer_scale,Omega_outer_rms_rel,Omega_outer_max_rel
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,240,10669,8590,2079,12602,7.8971e-06,2.791e-03,8.471e-02,1.7460e-06,2.268e-04,6.950e-03,2.0585e-04,1.093e-03,8.477e-03,1.3563e-06,5.997e-06,1.926e-04,5.4367e+05,3.598e-06,5.679e-05,8.8179e+00,2.226e-07,6.206e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,245,10669,8590,2079,12602,7.8971e-06,3.969e-03,1.086e-01,1.7460e-06,2.321e-04,7.573e-03,2.0585e-04,8.498e-04,9.191e-03,1.3563e-06,6.105e-06,2.091e-04,5.4367e+05,3.632e-06,5.610e-05,8.8179e+00,2.217e-07,6.669e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,250,10669,8590,2079,12602,7.8971e-06,3.553e-03,9.245e-02,1.7460e-06,2.628e-04,7.579e-03,2.0585e-04,5.657e-04,5.202e-03,1.3563e-06,6.831e-06,2.085e-04,5.4367e+05,3.513e-06,5.288e-05,8.8179e+00,2.418e-07,6.563e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,255,10669,8590,2079,12602,7.8971e-06,2.720e-03,7.112e-02,1.7460e-06,2.494e-04,6.027e-03,2.0585e-04,6.895e-04,9.168e-03,1.3563e-06,6.420e-06,1.666e-04,5.4367e+05,3.609e-06,5.484e-05,8.8179e+00,2.323e-07,5.311e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,260,10669,8590,2079,12602,7.8971e-06,2.369e-03,8.442e-02,1.7460e-06,2.265e-04,4.825e-03,2.0585e-04,7.888e-04,1.148e-02,1.3563e-06,5.679e-06,9.166e-05,5.4367e+05,4.969e-06,2.442e-04,8.8179e+00,2.131e-07,3.332e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,265,10669,8590,2079,12602,7.8971e-06,4.015e-03,1.100e-01,1.7460e-06,2.125e-04,4.191e-03,2.0585e-04,9.523e-04,1.048e-02,1.3563e-06,5.742e-06,1.283e-04,5.4367e+05,5.197e-06,2.762e-04,8.8179e+00,2.172e-07,4.668e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,270,10669,8590,2079,12602,7.8971e-06,4.026e-03,9.822e-02,1.7460e-06,2.429e-04,6.168e-03,2.0585e-04,1.155e-03,1.205e-02,1.3563e-06,6.677e-06,1.476e-04,5.4367e+05,4.999e-06,2.439e-04,8.8179e+00,2.588e-07,5.299e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,275,10669,8590,2079,12602,7.8971e-06,3.718e-03,7.401e-02,1.7460e-06,2.274e-04,5.106e-03,2.0585e-04,1.190e-03,8.491e-03,1.3563e-06,6.287e-06,1.460e-04,5.4367e+05,5.475e-06,3.075e-04,8.8179e+00,2.387e-07,5.173e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,280,10669,8590,2079,12602,7.8971e-06,2.619e-03,6.194e-02,1.7460e-06,2.061e-04,4.548e-03,2.0585e-04,6.845e-04,7.792e-03,1.3563e-06,5.872e-06,1.129e-04,5.4367e+05,5.846e-06,3.508e-04,8.8179e+00,2.187e-07,3.842e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,285,10669,8590,2079,12602,7.8971e-06,3.015e-03,9.399e-02,1.7460e-06,2.187e-04,5.841e-03,2.0585e-04,7.879e-04,7.311e-03,1.3563e-06,6.343e-06,1.471e-04,5.4367e+05,4.976e-06,2.495e-04,8.8179e+00,2.310e-07,5.308e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,290,10669,8590,2079,12602,7.8971e-06,2.632e-03,7.485e-02,1.7460e-06,2.522e-04,5.861e-03,2.0585e-04,7.131e-04,8.414e-03,1.3563e-06,7.220e-06,2.051e-04,5.4367e+05,4.118e-06,1.223e-04,8.8179e+00,2.634e-07,7.299e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,295,10669,8590,2079,12602,7.8971e-06,2.415e-03,6.071e-02,1.7460e-06,2.512e-04,5.498e-03,2.0585e-04,5.912e-04,7.930e-03,1.3563e-06,7.495e-06,2.179e-04,5.4367e+05,3.644e-06,6.768e-05,8.8179e+00,2.728e-07,7.624e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,300,10669,8590,2079,12602,7.8971e-06,2.261e-03,5.492e-02,1.7460e-06,2.676e-04,5.462e-03,2.0585e-04,5.991e-04,8.006e-03,1.3563e-06,7.767e-06,1.959e-04,5.4367e+05,3.764e-06,9.639e-05,8.8179e+00,2.923e-07,6.645e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,305,10669,8590,2079,12602,7.8971e-06,2.989e-03,9.166e-02,1.7460e-06,2.700e-04,6.548e-03,2.0585e-04,7.881e-04,1.459e-02,1.3563e-06,7.602e-06,1.683e-04,5.4367e+05,3.696e-06,6.954e-05,8.8179e+00,2.755e-07,5.639e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,310,10669,8590,2079,12602,7.8971e-06,2.522e-03,7.029e-02,1.7460e-06,2.932e-04,7.988e-03,2.0585e-04,6.695e-04,7.011e-03,1.3563e-06,7.674e-06,1.730e-04,5.4367e+05,3.590e-06,6.311e-05,8.8179e+00,2.751e-07,5.392e-06
