model,setting,quantity,coeff,step,value
SA,production,NN2,CDp,16,3.537628e-05
SA,production,NN2,CDp,17,3.795552e-05
SA,production,NN2,CDp,18,4.003995e-05
SA,production,NN2,CDp,19,4.221490e-05
SA,production,NN2,CDp,20,5.223236e-05
SA,production,NN2,CDp,21,6.614268e-05
SA,production,NN2,CDp,22,8.066919e-05
SA,production,NN2,CDp,23,9.816452e-05
SA,production,NN2,CDp,24,1.016901e-04
SA,production,NN2,CDp,25,9.493589e-05
SA,production,NN2,CDp,26,8.043681e-05
SA,production,NN2,CDp,27,7.377571e-05
SA,production,NN2,CDp,28,7.542987e-05
SA,production,NN2,CDp,29,7.964091e-05
SA,production,NN2,CDp,30,7.067350e-05
SA,production,NN2,CDp,31,7.847528e-05
SA,production,NN2,CDp,32,7.919916e-05
SA,production,NN2,CDp,33,8.275476e-05
SA,production,NN2,CDp,34,8.738233e-05
SA,production,NN2,CDp,35,9.716762e-05
SA,production,NN2,CDp,36,1.071628e-04
SA,production,NN2,CDp,37,1.107163e-04
SA,production,NN2,CDp,38,1.045895e-04
SA,production,NN2,CDp,39,8.982570e-05
SA,production,NN2,CDp,40,7.546205e-05
SA,production,NN2,CDv,2,0.000000e+00
SA,production,NN2,CDv,3,0.000000e+00
SA,production,NN2,CDv,4,0.000000e+00
SA,production,NN2,CDv,5,0.000000e+00
SA,production,NN2,CDv,6,0.000000e+00
SA,production,NN2,CDv,7,0.000000e+00
SA,production,NN2,CDv,8,0.000000e+00
SA,production,NN2,CDv,9,0.000000e+00
SA,production,NN2,CDv,10,5.401150e-08
SA,production,NN2,CDv,11,1.012781e-07
SA,production,NN2,CDv,12,1.228578e-07
SA,production,NN2,CDv,13,1.072608e-07
SA,production,NN2,CDv,14,7.033815e-08
SA,production,NN2,CDv,15,3.625926e-08
SA,production,NN2,CDv,16,3.540456e-09
SA,production,NN2,CDv,17,-2.196651e-08
SA,production,NN2,CDv,18,-4.203188e-08
SA,production,NN2,CDv,19,-6.871963e-08
SA,production,NN2,CDv,20,-9.764097e-08
SA,production,NN2,CDv,21,-5.832917e-08
SA,production,NN2,CDv,22,7.321778e-09
SA,production,NN2,CDv,23,1.029240e-07
SA,production,NN2,CDv,24,2.330277e-07
SA,production,NN2,CDv,25,3.317230e-07
SA,production,NN2,CDv,26,4.257631e-07
SA,production,NN2,CDv,27,5.014571e-07
SA,production,NN2,CDv,28,5.700135e-07
SA,production,NN2,CDv,29,5.966810e-07
SA,production,NN2,CDv,30,4.841310e-07
SA,production,NN2,CDv,31,3.743844e-07
SA,production,NN2,CDv,32,2.506086e-07
SA,production,NN2,CDv,33,1.438532e-07
SA,production,NN2,CDv,34,6.221990e-08
SA,production,NN2,CDv,35,3.665592e-09
SA,production,NN2,CDv,36,-5.304216e-08
SA,production,NN2,CDv,37,-8.473012e-08
SA,production,NN2,CDv,38,-9.909976e-08
SA,production,NN2,CDv,39,-7.847177e-08
SA,production,NN2,CDv,40,7.679497e-08
SA,production,P,CL,2,0.000000e+00
SA,production,P,CL,3,0.000000e+00
SA,production,P,CL,4,0.000000e+00
SA,production,P,CL,5,0.000000e+00
SA,production,P,CL,6,0.000000e+00
SA,production,P,CL,7,0.000000e+00
SA,production,P,CL,8,0.000000e+00
SA,production,P,CL,9,0.000000e+00
SA,production,P,CL,10,-8.097000e-07
SA,production,P,CL,11,2.755100e-06
SA,production,P,CL,12,6.330000e-07
SA,production,P,CL,13,1.244700e-06
SA,production,P,CL,14,4.483700e-06
SA,production,P,CL,15,6.455700e-06
SA,production,P,CL,16,5.087400e-06
SA,production,P,CL,17,9.798000e-07
SA,production,P,CL,18,-2.115000e-06
SA,production,P,CL,19,-2.667000e-06
SA,production,P,CL,20,-1.392570e-05
SA,production,P,CL,21,-1.590670e-05
SA,production,P,CL,22,-1.083740e-05
SA,production,P,CL,23,4.646700e-06
SA,production,P,CL,24,1.325020e-05
SA,production,P,CL,25,1.623650e-05
SA,production,P,CL,26,1.045210e-05
SA,production,P,CL,27,9.506100e-06
SA,production,P,CL,28,8.155000e-06
SA,production,P,CL,29,3.135700e-06
SA,production,P,CL,30,-1.526930e-05
SA,production,P,CL,31,-9.122800e-06
SA,production,P,CL,32,9.714800e-06
SA,production,P,CL,33,1.068430e-05
SA,production,P,CL,34,9.438400e-06
SA,production,P,CL,35,3.981200e-06
SA,production,P,CL,36,-5.789600e-06
SA,production,P,CL,37,-1.684180e-05
SA,production,P,CL,38,-3.126140e-05
SA,production,P,CL,39,-4.677080e-05
SA,production,P,CL,40,-2.723530e-05
SA,production,P,CD,2,0.000000e+00
SA,production,P,CD,3,0.000000e+00
SA,production,P,CD,4,0.000000e+00
SA,production,P,CD,5,0.000000e+00
SA,production,P,CD,6,0.000000e+00
SA,production,P,CD,7,0.000000e+00
SA,production,P,CD,8,0.000000e+00
SA,production,P,CD,9,0.000000e+00
SA,production,P,CD,10,1.442970e-06
SA,production,P,CD,11,1.363350e-06
SA,production,P,CD,12,-2.485200e-07
SA,production,P,CD,13,-3.572800e-07
SA,production,P,CD,14,2.627900e-07
SA,production,P,CD,15,7.342400e-07
SA,production,P,CD,16,6.535400e-07
SA,production,P,CD,17,-1.382600e-07
SA,production,P,CD,18,-1.032950e-06
SA,production,P,CD,19,-1.318180e-06
SA,production,P,CD,20,-7.283500e-07
SA,production,P,CD,21,-3.143020e-06
SA,production,P,CD,22,-6.809600e-07
SA,production,P,CD,23,4.123900e-06
SA,production,P,CD,24,5.166570e-06
SA,production,P,CD,25,3.968500e-06
SA,production,P,CD,26,3.023890e-06
SA,production,P,CD,27,4.221220e-06
SA,production,P,CD,28,3.810680e-06
SA,production,P,CD,29,1.464260e-06
SA,production,P,CD,30,-3.288900e-07
SA,production,P,CD,31,-2.310590e-06
SA,production,P,CD,32,-1.608410e-06
SA,production,P,CD,33,-1.327550e-06
SA,production,P,CD,34,2.434100e-07
SA,production,P,CD,35,1.890840e-06
SA,production,P,CD,36,2.134870e-06
SA,production,P,CD,37,8.629500e-07
SA,production,P,CD,38,-2.185880e-06
SA,production,P,CD,39,-6.032460e-06
SA,production,P,CD,40,-3.104110e-06
SA,production,P,CDp,2,0.000000e+00
SA,production,P,CDp,3,0.000000e+00
SA,production,P,CDp,4,0.000000e+00
SA,production,P,CDp,5,0.000000e+00
SA,production,P,CDp,6,0.000000e+00
SA,production,P,CDp,7,0.000000e+00
SA,production,P,CDp,8,0.000000e+00
SA,production,P,CDp,9,0.000000e+00
SA,production,P,CDp,10,1.444223e-06
SA,production,P,CDp,11,1.362632e-06
SA,production,P,CDp,12,-2.502909e-07
SA,production,P,CDp,13,-3.575788e-07
SA,production,P,CDp,14,2.627880e-07
SA,production,P,CDp,15,7.341393e-07
SA,production,P,CDp,16,6.514227e-07
SA,production,P,CDp,17,-1.422738e-07
SA,production,P,CDp,18,-1.038470e-06
SA,production,P,CDp,19,-1.315812e-06
SA,production,P,CDp,20,-7.321574e-07
SA,production,P,CDp,21,-3.159851e-06
SA,production,P,CDp,22,-7.081419e-07
SA,production,P,CDp,23,4.090993e-06
SA,production,P,CDp,24,5.118053e-06
SA,production,P,CDp,25,3.936462e-06
SA,production,P,CDp,26,2.993723e-06
SA,production,P,CDp,27,4.194990e-06
SA,production,P,CDp,28,3.774585e-06
SA,production,P,CDp,29,1.442019e-06
SA,production,P,CDp,30,-3.266259e-07
SA,production,P,CDp,31,-2.287493e-06
SA,production,P,CDp,32,-1.573765e-06
SA,production,P,CDp,33,-1.285184e-06
SA,production,P,CDp,34,2.882453e-07
SA,production,P,CDp,35,1.933957e-06
SA,production,P,CDp,36,2.194248e-06
SA,production,P,CDp,37,9.249611e-07
SA,production,P,CDp,38,-2.120404e-06
SA,production,P,CDp,39,-5.959896e-06
SA,production,P,CDp,40,-3.024249e-06
SA,production,P,CDv,2,0.000000e+00
SA,production,P,CDv,3,0.000000e+00
SA,production,P,CDv,4,0.000000e+00
SA,production,P,CDv,5,0.000000e+00
SA,production,P,CDv,6,0.000000e+00
SA,production,P,CDv,7,0.000000e+00
SA,production,P,CDv,8,0.000000e+00
SA,production,P,CDv,9,0.000000e+00
SA,production,P,CDv,10,-5.236095e-10
SA,production,P,CDv,11,7.676674e-10
SA,production,P,CDv,12,1.828802e-09
SA,production,P,CDv,13,7.035596e-10
SA,production,P,CDv,14,7.485580e-10
SA,production,P,CDv,15,5.905018e-10
SA,production,P,CDv,16,1.969553e-09
SA,production,P,CDv,17,3.517600e-09
SA,production,P,CDv,18,4.686670e-09
SA,production,P,CDv,19,-1.602502e-09
SA,production,P,CDv,20,3.718555e-09
SA,production,P,CDv,21,1.687700e-08
SA,production,P,CDv,22,2.703044e-08
SA,production,P,CDv,23,3.322450e-08
SA,production,P,CDv,24,4.810913e-08
SA,production,P,CDv,25,3.150899e-08
SA,production,P,CDv,26,3.060090e-08
SA,production,P,CDv,27,2.523289e-08
SA,production,P,CDv,28,3.720049e-08
SA,production,P,CDv,29,2.241817e-08
SA,production,P,CDv,30,-2.331008e-09
SA,production,P,CDv,31,-2.298829e-08
SA,production,P,CDv,32,-3.468393e-08
SA,production,P,CDv,33,-4.251159e-08
SA,production,P,CDv,34,-4.571161e-08
SA,production,P,CDv,35,-4.355083e-08
SA,production,P,CDv,36,-5.943986e-08
SA,production,P,CDv,37,-6.169612e-08
SA,production,P,CDv,38,-6.498811e-08
SA,production,P,CDv,39,-7.350729e-08
SA,production,P,CDv,40,-7.985220e-08
SA,cap1600,GP2,CL,2,0.000000e+00
SA,cap1600,GP2,CL,3,0.000000e+00
SA,cap1600,GP2,CL,4,0.000000e+00
SA,cap1600,GP2,CL,5,0.000000e+00
SA,cap1600,GP2,CL,6,0.000000e+00
SA,cap1600,GP2,CL,7,0.000000e+00
SA,cap1600,GP2,CL,8,0.000000e+00
SA,cap1600,GP2,CL,9,0.000000e+00
SA,cap1600,GP2,CL,10,1.768330e-05
SA,cap1600,GP2,CL,11,2.852310e-05
SA,cap1600,GP2,CL,12,1.642510e-05
SA,cap1600,GP2,CL,13,1.436350e-05
SA,cap1600,GP2,CL,14,2.284640e-05
SA,cap1600,GP2,CL,15,2.799440e-05
SA,cap1600,GP2,CL,16,3.018830e-05
SA,cap1600,GP2,CL,17,2.955000e-05
SA,cap1600,GP2,CL,18,3.634300e-05
SA,cap1600,GP2,CL,19,5.488910e-05
SA,cap1600,GP2,CL,20,2.288673e-04
SA,cap1600,GP2,CL,21,3.942727e-04
SA,cap1600,GP2,CL,22,4.697796e-04
SA,cap1600,GP2,CL,23,5.061675e-04
SA,cap1600,GP2,CL,24,4.752643e-04
SA,cap1600,GP2,CL,25,4.115069e-04
SA,cap1600,GP2,CL,26,3.219707e-04
SA,cap1600,GP2,CL,27,2.688913e-04
SA,cap1600,GP2,CL,28,2.768286e-04
SA,cap1600,GP2,CL,29,3.245618e-04
SA,cap1600,GP2,CL,30,2.694903e-04
SA,cap1600,GP2,CL,31,2.382073e-04
SA,cap1600,GP2,CL,32,2.092306e-04
SA,cap1600,GP2,CL,33,2.519239e-04
SA,cap1600,GP2,CL,34,3.115434e-04
SA,cap1600,GP2,CL,35,3.731175e-04
SA,cap1600,GP2,CL,36,4.255263e-04
SA,cap1600,GP2,CL,37,4.494268e-04
SA,cap1600,GP2,CL,38,4.295964e-04
SA,cap1600,GP2,CL,39,3.601947e-04
SA,cap1600,GP2,CD,2,0.000000e+00
SA,cap1600,GP2,CD,3,0.000000e+00
SA,cap1600,GP2,CD,4,0.000000e+00
SA,cap1600,GP2,CD,5,0.000000e+00
SA,cap1600,GP2,CD,6,0.000000e+00
SA,cap1600,GP2,CD,7,0.000000e+00
SA,cap1600,GP2,CD,8,0.000000e+00
SA,cap1600,GP2,CD,9,0.000000e+00
SA,cap1600,GP2,CD,10,3.097857e-05
SA,cap1600,GP2,CD,11,4.777336e-05
SA,cap1600,GP2,CD,12,4.347602e-05
SA,cap1600,GP2,CD,13,3.523463e-05
SA,cap1600,GP2,CD,14,3.126558e-05
SA,cap1600,GP2,CD,15,3.177086e-05
SA,cap1600,GP2,CD,16,3.472501e-05
SA,cap1600,GP2,CD,17,3.807090e-05
SA,cap1600,GP2,CD,18,4.102956e-05
SA,cap1600,GP2,CD,19,4.346286e-05
SA,cap1600,GP2,CD,20,5.286530e-05
SA,cap1600,GP2,CD,21,6.925687e-05
SA,cap1600,GP2,CD,22,8.143723e-05
SA,cap1600,GP2,CD,23,9.420714e-05
SA,cap1600,GP2,CD,24,9.678465e-05
SA,cap1600,GP2,CD,25,9.132454e-05
SA,cap1600,GP2,CD,26,7.784509e-05
SA,cap1600,GP2,CD,27,7.003974e-05
SA,cap1600,GP2,CD,28,7.215843e-05
SA,cap1600,GP2,CD,29,7.875581e-05
SA,cap1600,GP2,CD,30,7.148717e-05
SA,cap1600,GP2,CD,31,8.115476e-05
SA,cap1600,GP2,CD,32,8.105382e-05
SA,cap1600,GP2,CD,33,8.422731e-05
SA,cap1600,GP2,CD,34,8.720391e-05
SA,cap1600,GP2,CD,35,9.529593e-05
SA,cap1600,GP2,CD,36,1.048278e-04
SA,cap1600,GP2,CD,37,1.095257e-04
SA,cap1600,GP2,CD,38,1.064212e-04
SA,cap1600,GP2,CD,39,9.505027e-05
SA,cap1600,GP2,CDp,2,0.000000e+00
SA,cap1600,GP2,CDp,3,0.000000e+00
SA,cap1600,GP2,CDp,4,0.000000e+00
SA,cap1600,GP2,CDp,5,0.000000e+00
SA,cap1600,GP2,CDp,6,0.000000e+00
SA,cap1600,GP2,CDp,7,0.000000e+00
SA,cap1600,GP2,CDp,8,0.000000e+00
SA,cap1600,GP2,CDp,9,0.000000e+00
SA,cap1600,GP2,CDp,10,3.092469e-05
SA,cap1600,GP2,CDp,11,4.767549e-05
SA,cap1600,GP2,CDp,12,4.335747e-05
SA,cap1600,GP2,CDp,13,3.512972e-05
SA,cap1600,GP2,CDp,14,3.119722e-05
SA,cap1600,GP2,CDp,15,3.173678e-05
SA,cap1600,GP2,CDp,16,3.472486e-05
SA,cap1600,GP2,CDp,17,3.809780e-05
SA,cap1600,GP2,CDp,18,4.107842e-05
SA,cap1600,GP2,CDp,19,4.353071e-05
SA,cap1600,GP2,CDp,20,5.295690e-05
SA,cap1600,GP2,CDp,21,6.930757e-05
