node,x,y,wall_distance_solver,moved_event_00009,in_quad_layer,displacement_event_00009
5906,-0.017225,0.000746,1.723341e-02,1,0,1.040e-04
5907,-0.018166,-0.000074,1.816586e-02,1,0,2.505e-04
5908,-0.016985,-0.000996,1.700047e-02,1,0,2.268e-04
5909,1.073705,-0.290917,3.001087e-01,1,0,1.606e-03
5910,1.050846,-0.279011,2.836063e-01,1,0,1.612e-03
5911,1.036568,-0.303554,3.056844e-01,1,0,4.527e-03
5912,1.020360,-0.324960,3.246507e-01,1,0,2.001e-03
5913,-7.829127,22.219921,2.354192e+01,0,0,0.000e+00
5914,-6.555931,22.549328,2.346309e+01,0,0,0.000e+00
5915,-7.089504,24.062740,2.506566e+01,0,0,0.000e+00
5916,4.695748,23.162754,2.345574e+01,0,0,0.000e+00
5917,4.929434,24.700985,2.501158e+01,0,0,0.000e+00
5918,3.401259,24.861794,2.497229e+01,0,0,0.000e+00
5919,0.005458,-0.330914,2.973504e-01,1,0,3.336e-03
5920,18.121069,-27.112843,3.206614e+01,0,0,0.000e+00
5921,16.631931,-26.271103,3.057005e+01,0,0,0.000e+00
5922,18.351997,-25.333406,3.070624e+01,0,0,0.000e+00
5923,16.961796,-24.802240,2.949458e+01,0,0,0.000e+00
5924,19.218803,-24.301170,3.037222e+01,0,0,0.000e+00
5925,-0.049671,0.136759,1.329143e-01,1,0,1.452e-03
5926,16.787451,25.182390,2.972198e+01,0,0,0.000e+00
5927,15.357142,24.110189,2.806116e+01,0,0,0.000e+00
5928,16.434278,23.161400,2.783285e+01,0,0,0.000e+00
5929,-0.015457,0.002960,1.559711e-02,1,0,1.661e-05
5930,-0.016618,0.001741,1.666524e-02,1,0,1.346e-04
5931,-15.461946,-25.258905,2.960591e+01,0,0,0.000e+00
5932,-16.391165,-23.786779,2.887896e+01,0,0,0.000e+00
5933,-0.033003,-0.022776,3.804388e-02,1,0,1.542e-04
5934,-18.864964,-22.720034,2.952446e+01,0,0,0.000e+00
5935,0.307557,-0.641132,5.816660e-01,1,0,7.638e-03
5936,0.348080,-0.651286,5.922515e-01,1,0,6.314e-03
5937,0.929501,0.458787,4.456843e-01,1,0,1.118e-03
5938,0.981706,0.366332,3.605096e-01,1,0,3.955e-03
5939,-0.031579,0.016734,3.444901e-02,1,0,2.104e-04
5940,-0.029399,0.016865,3.244482e-02,1,0,1.311e-04
5941,0.933341,-0.449850,4.372799e-01,1,0,5.699e-03
5942,0.934581,-0.498206,4.854276e-01,1,0,6.153e-03
5943,1.047817,-0.126641,1.353679e-01,1,0,2.006e-03
5944,-0.032417,-0.020024,3.640613e-02,1,0,4.948e-04
5945,-0.030913,-0.014996,3.326396e-02,1,0,2.412e-04
5946,-0.031767,-0.017462,3.487214e-02,1,0,3.364e-04
5947,1.001606,0.308658,3.059641e-01,1,0,2.700e-03
5948,0.982958,0.325832,3.205187e-01,1,0,3.988e-03
5949,1.002999,0.345420,3.425820e-01,1,0,4.824e-03
5950,1.017401,0.290868,2.904742e-01,1,0,3.701e-03
5951,-0.029292,-0.233082,2.125809e-01,1,0,6.408e-04
5952,-0.038142,-0.220008,2.033397e-01,1,0,1.879e-03
5953,-0.039858,0.045408,5.579619e-02,1,0,6.570e-04
5954,0.355338,0.707053,6.481378e-01,1,0,9.488e-03
5955,0.304170,0.695986,6.365172e-01,1,0,6.496e-03
5956,0.269105,-0.631982,5.726451e-01,1,0,3.784e-03
5957,0.981632,0.410855,4.046478e-01,1,0,5.947e-03
5958,0.957612,0.434672,4.252183e-01,1,0,4.070e-03
5959,1.036227,-0.148790,1.531373e-01,1,0,2.440e-03
5960,27.672331,-16.476900,3.135126e+01,0,0,0.000e+00
5961,24.251049,-14.952287,2.764384e+01,0,0,0.000e+00
5962,22.511705,-14.972677,2.620944e+01,0,0,0.000e+00
5963,22.884563,-16.423506,2.736176e+01,0,0,0.000e+00
5964,0.255682,0.681331,6.221780e-01,1,0,6.821e-03
5965,0.055309,0.560816,5.152933e-01,1,0,5.446e-03
5966,0.083538,0.581387,5.323345e-01,1,0,5.726e-03
5967,0.058059,0.615215,5.689096e-01,1,0,2.057e-03
5968,0.141126,0.618803,5.644700e-01,1,0,9.798e-04
5969,0.231116,-0.618489,5.598552e-01,1,0,6.749e-03
5970,0.162460,-0.582473,5.268164e-01,1,0,6.177e-03
5971,0.193740,-0.600415,5.430988e-01,1,0,6.062e-03
5972,27.765799,-13.351833,2.991119e+01,0,0,0.000e+00
5973,27.722019,-11.799981,2.921140e+01,0,0,0.000e+00
5974,27.719822,-10.274787,2.862726e+01,0,0,0.000e+00
5975,-0.030117,-0.012615,3.182242e-02,1,0,3.580e-04
5976,-0.053267,0.078496,8.804783e-02,1,0,1.227e-03
5977,-0.045914,-0.069188,7.624595e-02,1,0,6.404e-04
5978,-0.052818,0.063432,7.727997e-02,1,0,1.416e-03
5979,-0.051299,0.056627,7.173606e-02,1,0,6.977e-04
5980,-0.048660,0.051848,6.669870e-02,1,0,9.454e-04
5981,0.055270,-0.424915,3.807276e-01,1,0,3.714e-03
5982,0.032609,-0.404362,3.640553e-01,1,0,3.231e-03
5983,0.015062,-0.385792,3.490190e-01,1,0,4.106e-03
5984,-0.018998,-0.001302,1.902285e-02,1,0,2.621e-04
5985,0.124604,0.522921,4.701549e-01,1,0,1.476e-03
5986,0.105712,0.549790,4.986276e-01,1,0,3.832e-03
5987,0.079135,0.532045,4.838047e-01,1,0,5.167e-03
5988,0.134384,0.565893,5.121967e-01,1,0,2.465e-03
5989,0.061943,-0.468964,4.233905e-01,1,0,4.680e-03
5990,0.087438,-0.482214,4.333547e-01,1,0,6.285e-03
5991,-0.030783,0.210931,1.922507e-01,1,0,7.039e-04
5992,-0.033137,0.228289,2.093455e-01,1,0,1.618e-03
5993,-0.041764,0.216811,2.016925e-01,1,0,7.090e-04
5994,0.959508,-0.428531,4.193629e-01,1,0,5.475e-03
5995,14.955141,27.256886,3.062162e+01,0,0,0.000e+00
5996,16.154312,26.215643,3.028057e+01,0,0,0.000e+00
5997,-0.027586,0.011652,2.912896e-02,1,0,1.337e-04
5998,1.000845,-0.344740,3.416217e-01,1,0,4.934e-03
5999,0.983055,-0.405494,3.995157e-01,1,0,2.667e-03
6000,7.032259,27.997854,2.864032e+01,0,0,0.000e+00
6001,8.268051,27.255892,2.820830e+01,0,0,0.000e+00
6002,-0.024285,0.237375,2.150367e-01,1,0,2.253e-03
6003,-0.027480,0.303265,2.788760e-01,1,0,3.329e-03
6004,-0.039890,0.287759,2.677721e-01,1,0,3.084e-03
6005,23.274826,18.595360,2.901647e+01,0,0,0.000e+00
6006,23.493753,16.558352,2.793113e+01,0,0,0.000e+00
6007,22.845490,6.550137,2.280635e+01,0,0,0.000e+00
6008,23.183584,5.039529,2.274881e+01,0,0,0.000e+00
6009,24.717411,5.376799,2.431924e+01,0,0,0.000e+00
6010,-0.023866,-0.006992,2.448164e-02,1,0,3.008e-04
6011,-21.050568,-22.385674,3.072294e+01,0,0,0.000e+00
6012,-20.219864,-15.896462,2.571683e+01,0,0,0.000e+00
6013,-20.415159,-17.630136,2.696991e+01,0,0,0.000e+00
6014,-18.946608,-17.607658,2.586047e+01,0,0,0.000e+00
6015,-8.149175,-27.456854,2.862105e+01,0,0,0.000e+00
6016,-5.041096,-27.971075,2.839375e+01,0,0,0.000e+00
6017,-6.669497,-27.693903,2.846265e+01,0,0,0.000e+00
6018,-2.188945,-30.250942,3.028802e+01,0,0,0.000e+00
6019,0.835788,-30.340673,3.028564e+01,0,0,0.000e+00
6020,5.472750,-28.066664,2.842082e+01,0,0,0.000e+00
6021,7.001541,-27.824074,2.846397e+01,0,0,0.000e+00
6022,10.174651,-26.857841,2.838165e+01,0,0,0.000e+00
6023,8.443173,-27.437405,2.842907e+01,0,0,0.000e+00
6024,2.162534,26.635424,2.663517e+01,0,0,0.000e+00
6025,3.634583,26.508261,2.663425e+01,0,0,0.000e+00
6026,2.214274,28.415033,2.841458e+01,0,0,0.000e+00
6027,0.797454,28.436476,2.838107e+01,0,0,0.000e+00
6028,-3.449990,28.245176,2.842067e+01,0,0,0.000e+00
6029,-2.188930,30.250715,3.028779e+01,0,0,0.000e+00
6030,-3.218421,26.470964,2.663143e+01,0,0,0.000e+00
6031,-5.038483,27.992193,2.841405e+01,0,0,0.000e+00
6032,-6.160982,25.966017,2.666364e+01,0,0,0.000e+00
6033,-4.703396,26.218187,2.660870e+01,0,0,0.000e+00
6034,-6.655329,27.701824,2.846700e+01,0,0,0.000e+00
6035,-8.108267,27.351231,2.850813e+01,0,0,0.000e+00
6036,-9.468929,26.875227,2.847758e+01,0,0,0.000e+00
6037,-10.545760,26.159090,2.818982e+01,0,0,0.000e+00
6038,-13.103427,23.965071,2.730245e+01,0,0,0.000e+00
6039,-11.580946,24.276617,2.688474e+01,0,0,0.000e+00
6040,-14.457099,-26.672832,3.032778e+01,0,0,0.000e+00
6041,-0.024041,-0.271090,2.470789e-01,1,0,1.587e-03
6042,-0.050024,-0.267608,2.520748e-01,1,0,3.114e-03
6043,-0.069656,-0.277420,2.683301e-01,1,0,2.499e-03
6044,-0.052555,-0.282929,2.673328e-01,1,0,2.586e-03
6045,-0.034638,-0.257185,2.371045e-01,1,0,2.922e-03
6046,-0.032197,-0.311346,2.879602e-01,1,0,2.610e-03
6047,-0.025502,-0.331039,3.050348e-01,1,0,2.241e-03
6048,-0.028803,-0.001777,2.883885e-02,1,0,3.759e-04
6049,-0.027289,-0.000030,2.728875e-02,1,0,4.229e-04
6050,-0.029420,0.001547,2.944672e-02,1,0,1.164e-04
6051,-0.019795,0.003459,1.996308e-02,1,0,2.010e-04
6052,-0.017987,0.003050,1.812578e-02,1,0,1.321e-04
6053,-0.019995,0.000069,1.999471e-02,1,0,6.535e-05
6054,0.830353,0.580024,5.548163e-01,1,0,5.272e-03
6055,0.862456,0.556571,5.350102e-01,1,0,3.215e-03
6056,0.889668,0.590776,5.720689e-01,1,0,7.447e-03
6057,0.887547,0.533195,5.146218e-01,1,0,6.567e-03
6058,0.929533,0.511810,4.983232e-01,1,0,2.952e-03
6059,-0.049319,-0.130022,1.269432e-01,1,0,1.694e-03
6060,-22.339294,21.756775,3.117838e+01,0,0,0.000e+00
6061,-20.947039,23.004133,3.110632e+01,0,0,0.000e+00
6062,1.038630,0.150210,1.550974e-01,1,0,2.254e-03
6063,1.031460,0.124409,1.283253e-01,1,0,1.247e-03
6064,1.040281,0.113943,1.208539e-01,1,0,1.960e-03
6065,1.091534,0.117762,1.491525e-01,1,0,1.113e-03
6066,1.080431,0.127686,1.509068e-01,1,0,1.810e-03
6067,1.075539,0.111295,1.345090e-01,1,0,1.566e-03
6068,-0.037339,-0.165653,1.529054e-01,1,0,1.641e-03
6069,-0.048199,0.104602,1.050613e-01,1,0,5.984e-04
6070,-0.056644,0.105813,1.110515e-01,1,0,1.395e-03
6071,-0.058358,0.097660,1.057595e-01,1,0,9.815e-04
6072,-0.046783,0.113747,1.118202e-01,1,0,1.422e-03
6073,-0.059971,0.089913,1.009797e-01,1,0,1.285e-03
6074,-24.678814,15.634311,2.921176e+01,0,0,0.000e+00
6075,-24.009361,11.610175,2.666759e+01,0,0,0.000e+00
6076,-25.726013,12.244630,2.848983e+01,0,0,0.000e+00
6077,-26.307014,10.512335,2.832850e+01,0,0,0.000e+00
6078,-25.060587,14.066267,2.873629e+01,0,0,0.000e+00
6079,-28.136652,11.090063,3.024226e+01,0,0,0.000e+00
6080,-26.920973,8.743201,2.830440e+01,0,0,0.000e+00
6081,-27.388472,7.082678,2.828895e+01,0,0,0.000e+00
6082,-27.974421,4.221777,2.829102e+01,0,0,0.000e+00
6083,-28.254757,1.410074,2.828990e+01,0,0,0.000e+00
6084,-28.107950,2.814140,2.824840e+01,0,0,0.000e+00
6085,-28.247908,-0.000046,2.824791e+01,0,0,0.000e+00
6086,-28.254765,-1.410166,2.828991e+01,0,0,0.000e+00
6087,-29.566595,-5.982633,3.016549e+01,0,0,0.000e+00
6088,-24.269329,-15.756366,2.893286e+01,0,0,0.000e+00
6089,-21.693985,-17.906498,2.812567e+01,0,0,0.000e+00
6090,-21.806129,-16.260691,2.719811e+01,0,0,0.000e+00
6091,-0.029213,0.025951,3.610910e-02,1,0,5.088e-04
6092,-0.035102,0.029682,4.307041e-02,1,0,7.285e-04
6093,1.074466,-0.108607,1.316843e-01,1,0,1.696e-03
