case,model,step,x,y,Cfx_ref,Cfx_case,Cp_ref,Cp_case,Yplus_ref,Yplus_case
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.607724,0.044994,2.665571e-03,2.665571e-03,-3.094044e-01,-3.094044e-01,1.0930,1.0930
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.614001,0.044467,2.642750e-03,2.642750e-03,-3.029094e-01,-3.029094e-01,1.0884,1.0884
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.620235,0.043938,2.619189e-03,2.619189e-03,-2.964817e-01,-2.964817e-01,1.0836,1.0836
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.626426,0.043406,2.596488e-03,2.596488e-03,-2.901444e-01,-2.901444e-01,1.0789,1.0789
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.632574,0.042871,2.574346e-03,2.574346e-03,-2.838216e-01,-2.838216e-01,1.0744,1.0744
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.638680,0.042335,2.551461e-03,2.551461e-03,-2.776049e-01,-2.776049e-01,1.0696,1.0696
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.644743,0.041796,2.529967e-03,2.529967e-03,-2.714284e-01,-2.714284e-01,1.0652,1.0652
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.650764,0.041256,2.507485e-03,2.507485e-03,-2.653132e-01,-2.653132e-01,1.0605,1.0605
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.656744,0.040714,2.485939e-03,2.485939e-03,-2.592446e-01,-2.592446e-01,1.0559,1.0559
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.662682,0.040171,2.464479e-03,2.464479e-03,-2.532288e-01,-2.532288e-01,1.0514,1.0514
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.668579,0.039626,2.442718e-03,2.442718e-03,-2.472652e-01,-2.472652e-01,1.0468,1.0468
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.674435,0.039080,2.421486e-03,2.421486e-03,-2.413470e-01,-2.413470e-01,1.0423,1.0423
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.680250,0.038533,2.400676e-03,2.400676e-03,-2.354728e-01,-2.354728e-01,1.0379,1.0379
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.686026,0.037985,2.379278e-03,2.379278e-03,-2.296444e-01,-2.296444e-01,1.0333,1.0333
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.691761,0.037436,2.358366e-03,2.358366e-03,-2.238545e-01,-2.238545e-01,1.0288,1.0288
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.697456,0.036886,2.337548e-03,2.337548e-03,-2.181028e-01,-2.181028e-01,1.0243,1.0243
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.703112,0.036336,2.316783e-03,2.316783e-03,-2.123870e-01,-2.123870e-01,1.0198,1.0198
