setting,quantity,coeff,step,value
L0,P,CDv,5,0.000000e+00
L0,P,CDv,6,0.000000e+00
L0,P,CDv,7,0.000000e+00
L0,P,CDv,8,0.000000e+00
L0,P,CDv,9,0.000000e+00
L0,P,CDv,10,1.374309e-11
L0,P,CDv,11,-7.023122e-10
L0,P,CDv,12,-8.156028e-10
L0,P,CDv,13,-6.751950e-10
L0,P,CDv,14,-9.079703e-10
L0,P,CDv,15,-8.754660e-10
L0,P,CDv,16,-4.957816e-10
L0,P,CDv,17,-2.728633e-10
L0,P,CDv,18,-3.415147e-10
L0,P,CDv,19,-3.221501e-10
L0,P,CDv,20,4.278917e-10
L0,P,CDv,21,8.778347e-10
L0,P,CDv,22,8.492347e-10
L0,P,CDv,23,-4.559884e-10
L0,P,CDv,24,-1.151662e-09
L0,P,CDv,25,-5.818631e-10
L0,P,CDv,26,3.426023e-11
L0,P,CDv,27,2.029572e-10
L0,P,CDv,28,3.998206e-10
L0,P,CDv,29,6.742663e-10
L0,P,CDv,30,1.225038e-09
L0,P,CDv,31,1.704150e-09
L0,P,CDv,32,1.455993e-09
L0,P,CDv,33,2.107863e-09
L0,P,CDv,34,2.568749e-09
L0,P,CDv,35,2.452555e-09
L0,P,CDv,36,2.073889e-09
L0,P,CDv,37,1.405646e-09
L0,P,CDv,38,3.411415e-10
L0,P,CDv,39,-7.439337e-10
L0,P,CDv,40,-1.560680e-09
L1,GP2,CL,2,0.000000e+00
L1,GP2,CL,3,0.000000e+00
L1,GP2,CL,4,0.000000e+00
L1,GP2,CL,5,0.000000e+00
L1,GP2,CL,6,0.000000e+00
L1,GP2,CL,7,0.000000e+00
L1,GP2,CL,8,0.000000e+00
L1,GP2,CL,9,0.000000e+00
L1,GP2,CL,10,2.060920e-05
L1,GP2,CL,11,1.786230e-05
L1,GP2,CL,12,2.975620e-05
L1,GP2,CL,13,4.078350e-05
L1,GP2,CL,14,4.610200e-05
L1,GP2,CL,15,5.703180e-05
L1,GP2,CL,16,7.847000e-05
L1,GP2,CL,17,9.892810e-05
L1,GP2,CL,18,1.013319e-04
L1,GP2,CL,19,7.964590e-05
L1,GP2,CL,20,4.796930e-05
L1,GP2,CL,21,6.992600e-06
L1,GP2,CL,22,-4.848870e-05
L1,GP2,CL,23,-6.605620e-05
L1,GP2,CL,24,-3.254810e-05
L1,GP2,CL,25,1.235150e-05
L1,GP2,CL,26,4.452050e-05
L1,GP2,CL,27,6.624970e-05
L1,GP2,CL,28,9.306070e-05
L1,GP2,CL,29,1.323163e-04
L1,GP2,CL,30,1.938580e-05
L1,GP2,CL,31,-8.246570e-05
L1,GP2,CL,32,-1.198968e-04
L1,GP2,CL,33,-1.666290e-04
L1,GP2,CL,34,-1.930504e-04
L1,GP2,CL,35,-2.015660e-04
L1,GP2,CL,36,-2.133021e-04
L1,GP2,CL,37,-2.261853e-04
L1,GP2,CL,38,-2.336002e-04
L1,GP2,CL,39,-2.286254e-04
L1,GP2,CD,2,0.000000e+00
L1,GP2,CD,3,0.000000e+00
L1,GP2,CD,4,0.000000e+00
L1,GP2,CD,5,0.000000e+00
L1,GP2,CD,6,0.000000e+00
L1,GP2,CD,7,0.000000e+00
L1,GP2,CD,8,0.000000e+00
L1,GP2,CD,9,0.000000e+00
L1,GP2,CD,10,1.404669e-05
L1,GP2,CD,11,6.885070e-07
L1,GP2,CD,12,-1.811623e-06
L1,GP2,CD,13,2.428460e-07
L1,GP2,CD,14,2.803567e-06
L1,GP2,CD,15,4.791335e-06
L1,GP2,CD,16,6.620717e-06
L1,GP2,CD,17,7.956648e-06
L1,GP2,CD,18,7.478916e-06
L1,GP2,CD,19,5.012634e-06
L1,GP2,CD,20,5.345233e-06
L1,GP2,CD,21,1.766029e-05
L1,GP2,CD,22,4.101349e-06
L1,GP2,CD,23,-2.085560e-07
L1,GP2,CD,24,3.973550e-07
L1,GP2,CD,25,4.024417e-06
L1,GP2,CD,26,8.029634e-06
L1,GP2,CD,27,1.175929e-05
L1,GP2,CD,28,1.691390e-05
L1,GP2,CD,29,2.398794e-05
L1,GP2,CD,30,1.528241e-05
L1,GP2,CD,31,-1.108923e-05
L1,GP2,CD,32,-1.288083e-05
L1,GP2,CD,33,-2.650326e-05
L1,GP2,CD,34,-2.936917e-05
L1,GP2,CD,35,-2.733858e-05
L1,GP2,CD,36,-2.495276e-05
L1,GP2,CD,37,-2.142874e-05
