case,model,step,which,field,src_integral,tgt_integral,rel_defect_(tgt-src)/src,src_change_since_prev_event
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,88,bdf2_level,Momentum_x,3.119235062802e+03,3.119235062815e+03,4.161e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,88,bdf2_level,Momentum_y,3.275320722665e+02,3.275320722677e+02,3.747e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,88,bdf2_level,Energy,5.616358237625e+04,5.616358237623e+04,-3.376e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,88,bdf2_level,Nu_Tilde,1.588960980260e-03,1.588960980917e-03,4.137e-10,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,89,state,Density,3.136378599926e+04,3.136378599925e+04,-2.540e-13,-2.846e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,89,state,Momentum_x,3.119235062722e+03,3.119235062731e+03,3.162e-12,-2.720e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,89,state,Momentum_y,3.275320717590e+02,3.275320717605e+02,4.375e-12,-1.372e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,89,state,Energy,5.616358237625e+04,5.616358237623e+04,-3.362e-13,-3.883e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,89,state,Nu_Tilde,1.588961001896e-03,1.588961002584e-03,4.330e-10,8.508e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,98,bdf2_level,Density,3.136378599925e+04,3.136378599925e+04,-1.745e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,98,bdf2_level,Momentum_x,3.119235061958e+03,3.119235061960e+03,4.853e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,98,bdf2_level,Momentum_y,3.275320723059e+02,3.275320723084e+02,7.621e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,98,bdf2_level,Energy,5.616358237623e+04,5.616358237621e+04,-2.267e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,98,bdf2_level,Nu_Tilde,1.588960765897e-03,1.588960773445e-03,4.750e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,99,state,Density,3.136378599925e+04,3.136378599925e+04,-1.743e-13,-2.296e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,99,state,Momentum_x,3.119235061886e+03,3.119235061885e+03,-1.356e-13,-2.680e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,99,state,Momentum_y,3.275320722446e+02,3.275320722470e+02,7.499e-12,1.482e-09
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,99,state,Energy,5.616358237623e+04,5.616358237621e+04,-2.353e-13,-3.721e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,99,state,Nu_Tilde,1.588960727395e-03,1.588960734861e-03,4.699e-09,-1.728e-07
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,108,bdf2_level,Density,3.136378599925e+04,3.136378599924e+04,-3.026e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,108,bdf2_level,Momentum_x,3.119235061024e+03,3.119235061036e+03,3.982e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,108,bdf2_level,Momentum_y,3.275320698164e+02,3.275320698139e+02,-7.585e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,108,bdf2_level,Energy,5.616358237621e+04,5.616358237619e+04,-3.627e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,108,bdf2_level,Nu_Tilde,1.588960397954e-03,1.588960400484e-03,1.593e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,109,state,Density,3.136378599925e+04,3.136378599924e+04,-3.036e-13,-1.385e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,109,state,Momentum_x,3.119235060906e+03,3.119235060921e+03,4.734e-12,-3.141e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,109,state,Momentum_y,3.275320696452e+02,3.275320696430e+02,-6.716e-12,-7.936e-09
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,109,state,Energy,5.616358237621e+04,5.616358237619e+04,-3.658e-13,-2.411e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,109,state,Nu_Tilde,1.588960361733e-03,1.588960364197e-03,1.550e-09,-2.301e-07
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,118,bdf2_level,Density,3.136378599924e+04,3.136378599923e+04,-2.524e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,118,bdf2_level,Momentum_x,3.119235060095e+03,3.119235060091e+03,-1.174e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,118,bdf2_level,Momentum_y,3.275320704178e+02,3.275320704318e+02,4.279e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,118,bdf2_level,Energy,5.616358237619e+04,5.616358237617e+04,-3.204e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,118,bdf2_level,Nu_Tilde,1.588959991389e-03,1.588959989532e-03,-1.169e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,119,state,Density,3.136378599924e+04,3.136378599923e+04,-2.533e-13,-3.418e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,119,state,Momentum_x,3.119235060030e+03,3.119235060014e+03,-5.231e-12,-2.807e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,119,state,Momentum_y,3.275320701350e+02,3.275320701498e+02,4.521e-11,1.495e-09
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,119,state,Energy,5.616358237619e+04,5.616358237617e+04,-3.519e-13,-4.355e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,119,state,Nu_Tilde,1.588960015055e-03,1.588960013531e-03,-9.593e-10,-2.182e-07
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,128,bdf2_level,Density,3.136378599923e+04,3.136378599922e+04,-2.255e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,128,bdf2_level,Momentum_x,3.119235059283e+03,3.119235059277e+03,-1.867e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,128,bdf2_level,Momentum_y,3.275320662430e+02,3.275320662479e+02,1.500e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,128,bdf2_level,Energy,5.616358237616e+04,5.616358237614e+04,-2.974e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,128,bdf2_level,Nu_Tilde,1.588959972279e-03,1.588959978268e-03,3.769e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,129,state,Density,3.136378599923e+04,3.136378599922e+04,-2.322e-13,-3.629e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,129,state,Momentum_x,3.119235059218e+03,3.119235059213e+03,-1.733e-12,-2.604e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,129,state,Momentum_y,3.275320653167e+02,3.275320653214e+02,1.454e-11,-1.471e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,129,state,Energy,5.616358237616e+04,5.616358237614e+04,-2.987e-13,-5.371e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,129,state,Nu_Tilde,1.588959990689e-03,1.588959996578e-03,3.706e-09,-1.533e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,138,bdf2_level,Density,3.136378599922e+04,3.136378599921e+04,-3.780e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,138,bdf2_level,Momentum_x,3.119235058810e+03,3.119235058800e+03,-3.252e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,138,bdf2_level,Momentum_y,3.275320585250e+02,3.275320585327e+02,2.351e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,138,bdf2_level,Energy,5.616358237615e+04,5.616358237612e+04,-4.765e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,138,bdf2_level,Nu_Tilde,1.588959934076e-03,1.588959930323e-03,-2.362e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,139,state,Density,3.136378599922e+04,3.136378599921e+04,-3.725e-13,-1.675e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,139,state,Momentum_x,3.119235058753e+03,3.119235058746e+03,-2.301e-12,-1.492e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,139,state,Momentum_y,3.275320580345e+02,3.275320580420e+02,2.295e-11,-2.223e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,139,state,Energy,5.616358237615e+04,5.616358237612e+04,-4.742e-13,-1.490e-13
