lag,d005,d010_SF2,d010,d020_long,d020
226,nan,nan,nan,-2.088790000000e-05,nan
227,nan,nan,nan,-2.092240000000e-05,nan
228,nan,nan,nan,-2.095700000000e-05,nan
229,nan,nan,nan,-2.099140000000e-05,nan
230,nan,nan,nan,-2.102590000000e-05,nan
231,nan,nan,nan,-2.106040000000e-05,nan
232,nan,nan,nan,-2.109490000000e-05,nan
233,nan,nan,nan,-2.112930000000e-05,nan
234,nan,nan,nan,-2.116360000000e-05,nan
235,nan,nan,nan,-2.119780000000e-05,nan
236,nan,nan,nan,-2.123190000000e-05,nan
237,nan,nan,nan,-2.126570000000e-05,nan
238,nan,nan,nan,-2.129960000000e-05,nan
239,nan,nan,nan,-2.133350000000e-05,nan
240,nan,nan,nan,-2.136750000000e-05,nan
241,nan,nan,nan,-2.140150000000e-05,nan
242,nan,nan,nan,-2.143570000000e-05,nan
243,nan,nan,nan,-2.146980000000e-05,nan
244,nan,nan,nan,-2.150360000000e-05,nan
245,nan,nan,nan,-2.153710000000e-05,nan
246,nan,nan,nan,-2.157030000000e-05,nan
247,nan,nan,nan,-2.160310000000e-05,nan
248,nan,nan,nan,-2.163580000000e-05,nan
249,nan,nan,nan,-2.166850000000e-05,nan
250,nan,nan,nan,-2.170140000000e-05,nan
251,nan,nan,nan,-2.173450000000e-05,nan
252,nan,nan,nan,-2.176750000000e-05,nan
253,nan,nan,nan,-2.180050000000e-05,nan
254,nan,nan,nan,-2.183340000000e-05,nan
255,nan,nan,nan,-2.186590000000e-05,nan
256,nan,nan,nan,-2.189830000000e-05,nan
257,nan,nan,nan,-2.193050000000e-05,nan
258,nan,nan,nan,-2.196280000000e-05,nan
259,nan,nan,nan,-2.199510000000e-05,nan
260,nan,nan,nan,-2.202770000000e-05,nan
261,nan,nan,nan,-2.206040000000e-05,nan
262,nan,nan,nan,-2.209300000000e-05,nan
263,nan,nan,nan,-2.212560000000e-05,nan
264,nan,nan,nan,-2.215790000000e-05,nan
265,nan,nan,nan,-2.218990000000e-05,nan
266,nan,nan,nan,-2.222170000000e-05,nan
267,nan,nan,nan,-2.225320000000e-05,nan
268,nan,nan,nan,-2.228460000000e-05,nan
269,nan,nan,nan,-2.231570000000e-05,nan
270,nan,nan,nan,-2.234680000000e-05,nan
271,nan,nan,nan,-2.237770000000e-05,nan
272,nan,nan,nan,-2.240860000000e-05,nan
273,nan,nan,nan,-2.243930000000e-05,nan
274,nan,nan,nan,-2.247020000000e-05,nan
275,nan,nan,nan,-2.250090000000e-05,nan
276,nan,nan,nan,-2.253180000000e-05,nan
277,nan,nan,nan,-2.256250000000e-05,nan
278,nan,nan,nan,-2.259320000000e-05,nan
279,nan,nan,nan,-2.262390000000e-05,nan
280,nan,nan,nan,-2.265460000000e-05,nan
281,nan,nan,nan,-2.268510000000e-05,nan
282,nan,nan,nan,-2.271580000000e-05,nan
283,nan,nan,nan,-2.274650000000e-05,nan
284,nan,nan,nan,-2.277710000000e-05,nan
285,nan,nan,nan,-2.280770000000e-05,nan
286,nan,nan,nan,-2.283800000000e-05,nan
287,nan,nan,nan,-2.286800000000e-05,nan
288,nan,nan,nan,-2.289790000000e-05,nan
289,nan,nan,nan,-2.292740000000e-05,nan
290,nan,nan,nan,-2.295680000000e-05,nan
291,nan,nan,nan,-2.298610000000e-05,nan
292,nan,nan,nan,-2.301550000000e-05,nan
293,nan,nan,nan,-2.304490000000e-05,nan
294,nan,nan,nan,-2.307440000000e-05,nan
295,nan,nan,nan,-2.310400000000e-05,nan
296,nan,nan,nan,-2.313350000000e-05,nan
297,nan,nan,nan,-2.316290000000e-05,nan
298,nan,nan,nan,-2.319210000000e-05,nan
299,nan,nan,nan,-2.322110000000e-05,nan
300,nan,nan,nan,-2.325020000000e-05,nan
301,nan,nan,nan,-2.327920000000e-05,nan
302,nan,nan,nan,-2.330830000000e-05,nan
303,nan,nan,nan,-2.333740000000e-05,nan
304,nan,nan,nan,-2.336650000000e-05,nan
305,nan,nan,nan,-2.339560000000e-05,nan
306,nan,nan,nan,-2.342450000000e-05,nan
307,nan,nan,nan,-2.345320000000e-05,nan
308,nan,nan,nan,-2.348160000000e-05,nan
309,nan,nan,nan,-2.350980000000e-05,nan
310,nan,nan,nan,-2.353790000000e-05,nan
311,nan,nan,nan,-2.356600000000e-05,nan
312,nan,nan,nan,-2.359410000000e-05,nan
313,nan,nan,nan,-2.362220000000e-05,nan
314,nan,nan,nan,-2.365030000000e-05,nan
315,nan,nan,nan,-2.367830000000e-05,nan
316,nan,nan,nan,-2.370620000000e-05,nan
317,nan,nan,nan,-2.373400000000e-05,nan
318,nan,nan,nan,-2.376170000000e-05,nan
319,nan,nan,nan,-2.378940000000e-05,nan
