lag,d005,d010_SF2,d010,d020_long,d020
154,9.405060000000e-05,1.254204000000e-04,6.414650000000e-05,-1.815190000000e-05,-4.621710000000e-05
155,9.415940000000e-05,1.254725000000e-04,6.420360000000e-05,-1.819290000000e-05,-4.630530000000e-05
156,9.427040000000e-05,1.255323000000e-04,6.426370000000e-05,-1.823590000000e-05,-4.639830000000e-05
157,9.438450000000e-05,1.255982000000e-04,6.432650000000e-05,-1.828020000000e-05,-4.649520000000e-05
158,9.450190000000e-05,1.256685000000e-04,6.439150000000e-05,-1.832510000000e-05,-4.659450000000e-05
159,9.462190000000e-05,1.257411000000e-04,6.445780000000e-05,-1.837000000000e-05,-4.669470000000e-05
160,9.474210000000e-05,1.258139000000e-04,6.452440000000e-05,-1.841430000000e-05,-4.679440000000e-05
161,9.486010000000e-05,1.258851000000e-04,6.459040000000e-05,-1.845790000000e-05,-4.689250000000e-05
162,9.497360000000e-05,1.259529000000e-04,6.465470000000e-05,-1.850040000000e-05,-4.698840000000e-05
163,9.508110000000e-05,1.260160000000e-04,6.471650000000e-05,-1.854160000000e-05,-4.708190000000e-05
164,9.518290000000e-05,1.260735000000e-04,6.477540000000e-05,-1.858150000000e-05,-4.717330000000e-05
165,9.528040000000e-05,1.261253000000e-04,6.483170000000e-05,-1.862020000000e-05,-4.726280000000e-05
166,9.537530000000e-05,1.261718000000e-04,6.488590000000e-05,-1.865800000000e-05,-4.735060000000e-05
167,9.546950000000e-05,1.262141000000e-04,6.493870000000e-05,-1.869550000000e-05,-4.743710000000e-05
168,9.556360000000e-05,1.262535000000e-04,6.499070000000e-05,-1.873300000000e-05,-4.752260000000e-05
169,9.565810000000e-05,1.262917000000e-04,6.504240000000e-05,-1.877090000000e-05,-4.760730000000e-05
170,9.575290000000e-05,1.263298000000e-04,6.509400000000e-05,-1.880900000000e-05,-4.769150000000e-05
171,9.584860000000e-05,1.263694000000e-04,6.514560000000e-05,-1.884690000000e-05,-4.777530000000e-05
172,9.594580000000e-05,1.264111000000e-04,6.519710000000e-05,-1.888450000000e-05,-4.785900000000e-05
173,9.604580000000e-05,1.264556000000e-04,6.524900000000e-05,-1.892180000000e-05,-4.794260000000e-05
174,9.614890000000e-05,1.265031000000e-04,6.530130000000e-05,-1.895900000000e-05,-4.802680000000e-05
175,9.625500000000e-05,1.265536000000e-04,6.535490000000e-05,-1.899670000000e-05,-4.811160000000e-05
176,9.636260000000e-05,1.266066000000e-04,6.540990000000e-05,-1.903530000000e-05,-4.819730000000e-05
177,9.646970000000e-05,1.266612000000e-04,6.546620000000e-05,-1.907490000000e-05,-4.828410000000e-05
178,9.657440000000e-05,1.267163000000e-04,6.552310000000e-05,-1.911550000000e-05,-4.837170000000e-05
179,9.667590000000e-05,1.267709000000e-04,6.558000000000e-05,-1.915660000000e-05,-4.845960000000e-05
180,9.677420000000e-05,1.268237000000e-04,6.563570000000e-05,-1.919760000000e-05,-4.854720000000e-05
181,9.687070000000e-05,1.268741000000e-04,6.568950000000e-05,-1.923820000000e-05,-4.863380000000e-05
182,9.696620000000e-05,1.269215000000e-04,6.574090000000e-05,-1.927790000000e-05,-4.871920000000e-05
183,9.706140000000e-05,1.269659000000e-04,6.579000000000e-05,-1.931700000000e-05,-4.880290000000e-05
184,9.715560000000e-05,1.270073000000e-04,6.583730000000e-05,-1.935540000000e-05,-4.888530000000e-05
185,9.724750000000e-05,1.270460000000e-04,6.588340000000e-05,-1.939340000000e-05,-4.896650000000e-05
186,9.733580000000e-05,1.270823000000e-04,6.592880000000e-05,-1.943120000000e-05,-4.904700000000e-05
187,9.742010000000e-05,1.271166000000e-04,6.597400000000e-05,-1.946850000000e-05,-4.912710000000e-05
188,9.750140000000e-05,1.271491000000e-04,6.601910000000e-05,-1.950540000000e-05,-4.920680000000e-05
189,9.758180000000e-05,1.271805000000e-04,6.606420000000e-05,-1.954180000000e-05,-4.928600000000e-05
190,9.766390000000e-05,1.272115000000e-04,6.610940000000e-05,-1.957780000000e-05,-4.936430000000e-05
191,9.774960000000e-05,1.272429000000e-04,6.615450000000e-05,-1.961330000000e-05,-4.944180000000e-05
192,9.783990000000e-05,1.272756000000e-04,6.619970000000e-05,-1.964890000000e-05,-4.951830000000e-05
193,9.793370000000e-05,1.273102000000e-04,6.624500000000e-05,-1.968440000000e-05,-4.959410000000e-05
194,9.802940000000e-05,1.273472000000e-04,6.629060000000e-05,-1.972030000000e-05,-4.966960000000e-05
195,9.812490000000e-05,1.273868000000e-04,6.633680000000e-05,-1.975680000000e-05,-4.974510000000e-05
196,9.821830000000e-05,1.274284000000e-04,6.638360000000e-05,-1.979400000000e-05,-4.982130000000e-05
197,9.830910000000e-05,1.274716000000e-04,6.643090000000e-05,-1.983190000000e-05,-4.989830000000e-05
198,9.839770000000e-05,1.275151000000e-04,6.647830000000e-05,-1.987060000000e-05,-4.997630000000e-05
199,9.848510000000e-05,1.275582000000e-04,6.652560000000e-05,-1.990970000000e-05,-5.005490000000e-05
200,nan,nan,nan,-1.994920000000e-05,nan
201,nan,nan,nan,-1.998860000000e-05,nan
202,nan,nan,nan,-2.002760000000e-05,nan
203,nan,nan,nan,-2.006610000000e-05,nan
204,nan,nan,nan,-2.010400000000e-05,nan
205,nan,nan,nan,-2.014120000000e-05,nan
206,nan,nan,nan,-2.017780000000e-05,nan
207,nan,nan,nan,-2.021410000000e-05,nan
208,nan,nan,nan,-2.025020000000e-05,nan
209,nan,nan,nan,-2.028610000000e-05,nan
210,nan,nan,nan,-2.032190000000e-05,nan
211,nan,nan,nan,-2.035760000000e-05,nan
212,nan,nan,nan,-2.039310000000e-05,nan
213,nan,nan,nan,-2.042820000000e-05,nan
214,nan,nan,nan,-2.046320000000e-05,nan
215,nan,nan,nan,-2.049810000000e-05,nan
216,nan,nan,nan,-2.053310000000e-05,nan
217,nan,nan,nan,-2.056840000000e-05,nan
218,nan,nan,nan,-2.060400000000e-05,nan
219,nan,nan,nan,-2.063990000000e-05,nan
220,nan,nan,nan,-2.067590000000e-05,nan
221,nan,nan,nan,-2.071190000000e-05,nan
222,nan,nan,nan,-2.074770000000e-05,nan
223,nan,nan,nan,-2.078320000000e-05,nan
224,nan,nan,nan,-2.081840000000e-05,nan
225,nan,nan,nan,-2.085330000000e-05,nan
