grid,dim,solution,interp_order,method,resolution,n_points,h,field,geom_defect,supermesh_defect
Mixed,2,Constant,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_x,1.302661682226851e-15,nan
Mixed,2,Constant,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_y,1.302661682226851e-15,nan
Mixed,2,Constant,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Energy,7.198159011813867e-16,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Density,5.551115123125781e-16,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_x,1.1842378929335003e-16,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_y,1.1842378929335003e-16,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Energy,2.399386337271287e-16,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Density,1.1102230246251567e-15,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Momentum_x,3.552713678800501e-16,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Momentum_y,3.552713678800501e-16,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Energy,5.998465843178219e-16,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Density,1.6653345369377334e-15,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Momentum_x,1.302661682226851e-15,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Momentum_y,1.302661682226851e-15,nan
Mixed,2,Constant,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Energy,7.198159011813867e-16,nan
Mixed,2,Constant,SecondOrder,NN,64,6073,0.012832118438741323,Density,5.551115123125781e-16,nan
Mixed,2,Constant,SecondOrder,NN,64,6073,0.012832118438741323,Momentum_x,1.1842378929335003e-16,nan
Mixed,2,Constant,SecondOrder,NN,64,6073,0.012832118438741323,Momentum_y,1.1842378929335003e-16,nan
Mixed,2,Constant,SecondOrder,NN,64,6073,0.012832118438741323,Energy,2.399386337271287e-16,nan
Mixed,2,Constant,SecondOrder,NN,128,24408,0.006400794772021405,Density,1.1102230246251567e-15,nan
Mixed,2,Constant,SecondOrder,NN,128,24408,0.006400794772021405,Momentum_x,3.552713678800501e-16,nan
Mixed,2,Constant,SecondOrder,NN,128,24408,0.006400794772021405,Momentum_y,3.552713678800501e-16,nan
Mixed,2,Constant,SecondOrder,NN,128,24408,0.006400794772021405,Energy,5.998465843178219e-16,nan
Mixed,2,Constant,SecondOrder,NN,256,96409,0.0032206327947704866,Density,1.6653345369377334e-15,nan
Mixed,2,Constant,SecondOrder,NN,256,96409,0.0032206327947704866,Momentum_x,1.302661682226851e-15,nan
Mixed,2,Constant,SecondOrder,NN,256,96409,0.0032206327947704866,Momentum_y,1.302661682226851e-15,nan
Mixed,2,Constant,SecondOrder,NN,256,96409,0.0032206327947704866,Energy,7.198159011813867e-16,nan
Mixed,2,Constant,ThirdOrder,Barycentric,64,6073,0.012832118438741323,Density,5.551115123125781e-16,nan
Mixed,2,Constant,ThirdOrder,Barycentric,64,6073,0.012832118438741323,Momentum_x,2.3684757858670006e-16,nan
Mixed,2,Constant,ThirdOrder,Barycentric,64,6073,0.012832118438741323,Momentum_y,2.3684757858670006e-16,nan
Mixed,2,Constant,ThirdOrder,Barycentric,64,6073,0.012832118438741323,Energy,1.1996931686356436e-16,nan
Mixed,2,Constant,ThirdOrder,Barycentric,128,24408,0.006400794772021405,Density,1.1102230246251567e-15,nan
Mixed,2,Constant,ThirdOrder,Barycentric,128,24408,0.006400794772021405,Momentum_x,2.368475785867001e-16,nan
Mixed,2,Constant,ThirdOrder,Barycentric,128,24408,0.006400794772021405,Momentum_y,2.368475785867001e-16,nan
Mixed,2,Constant,ThirdOrder,Barycentric,128,24408,0.006400794772021405,Energy,5.998465843178219e-16,nan
Mixed,2,Constant,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Density,1.6653345369377334e-15,nan
Mixed,2,Constant,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_x,1.302661682226851e-15,nan
Mixed,2,Constant,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_y,1.302661682226851e-15,nan
Mixed,2,Constant,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Energy,7.198159011813867e-16,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Density,5.551115123125781e-16,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_x,1.1842378929335003e-16,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_y,1.1842378929335003e-16,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Energy,2.399386337271287e-16,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Density,1.1102230246251567e-15,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Momentum_x,3.552713678800501e-16,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Momentum_y,3.552713678800501e-16,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Energy,5.998465843178219e-16,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Density,1.6653345369377334e-15,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Momentum_x,1.302661682226851e-15,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Momentum_y,1.302661682226851e-15,nan
Mixed,2,Constant,ThirdOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Energy,7.198159011813867e-16,nan
Mixed,2,Constant,ThirdOrder,NN,64,6073,0.012832118438741323,Density,5.551115123125781e-16,nan
Mixed,2,Constant,ThirdOrder,NN,64,6073,0.012832118438741323,Momentum_x,1.1842378929335003e-16,nan
Mixed,2,Constant,ThirdOrder,NN,64,6073,0.012832118438741323,Momentum_y,1.1842378929335003e-16,nan
Mixed,2,Constant,ThirdOrder,NN,64,6073,0.012832118438741323,Energy,2.399386337271287e-16,nan
Mixed,2,Constant,ThirdOrder,NN,128,24408,0.006400794772021405,Density,1.1102230246251567e-15,nan
Mixed,2,Constant,ThirdOrder,NN,128,24408,0.006400794772021405,Momentum_x,3.552713678800501e-16,nan
Mixed,2,Constant,ThirdOrder,NN,128,24408,0.006400794772021405,Momentum_y,3.552713678800501e-16,nan
Mixed,2,Constant,ThirdOrder,NN,128,24408,0.006400794772021405,Energy,5.998465843178219e-16,nan
Mixed,2,Constant,ThirdOrder,NN,256,96409,0.0032206327947704866,Density,1.6653345369377334e-15,nan
Mixed,2,Constant,ThirdOrder,NN,256,96409,0.0032206327947704866,Momentum_x,1.302661682226851e-15,nan
Mixed,2,Constant,ThirdOrder,NN,256,96409,0.0032206327947704866,Momentum_y,1.302661682226851e-15,nan
Mixed,2,Constant,ThirdOrder,NN,256,96409,0.0032206327947704866,Energy,7.198159011813867e-16,nan
Mixed,2,Discontinuous,FirstOrder,NN,64,6073,0.012832118438741323,Density,0.0014676980816484752,nan
Mixed,2,Discontinuous,FirstOrder,NN,64,6073,0.012832118438741323,Momentum_x,0.01872580410505249,nan
Mixed,2,Discontinuous,FirstOrder,NN,64,6073,0.012832118438741323,Momentum_y,0.01872580410505249,nan
Mixed,2,Discontinuous,FirstOrder,NN,64,6073,0.012832118438741323,Energy,0.0031558166442180297,nan
Mixed,2,Discontinuous,FirstOrder,NN,128,24408,0.006400794772021405,Density,0.00028894614959367663,nan
Mixed,2,Discontinuous,FirstOrder,NN,128,24408,0.006400794772021405,Momentum_x,0.0037063209595063025,nan
Mixed,2,Discontinuous,FirstOrder,NN,128,24408,0.006400794772021405,Momentum_y,0.0037063209595063025,nan
Mixed,2,Discontinuous,FirstOrder,NN,128,24408,0.006400794772021405,Energy,0.0006210096740684317,nan
Mixed,2,Discontinuous,FirstOrder,NN,256,96409,0.0032206327947704866,Density,0.0001487715006545716,nan
Mixed,2,Discontinuous,FirstOrder,NN,256,96409,0.0032206327947704866,Momentum_x,0.0019273088897494206,nan
Mixed,2,Discontinuous,FirstOrder,NN,256,96409,0.0032206327947704866,Momentum_y,0.0019273088897494206,nan
Mixed,2,Discontinuous,FirstOrder,NN,256,96409,0.0032206327947704866,Energy,0.0003194811699429294,nan
Mixed,2,Discontinuous,SecondOrder,Barycentric,64,6073,0.012832118438741323,Density,0.0003565431962188001,nan
Mixed,2,Discontinuous,SecondOrder,Barycentric,64,6073,0.012832118438741323,Momentum_x,0.004548999641587024,nan
Mixed,2,Discontinuous,SecondOrder,Barycentric,64,6073,0.012832118438741323,Momentum_y,0.004548999641587024,nan
Mixed,2,Discontinuous,SecondOrder,Barycentric,64,6073,0.012832118438741323,Energy,0.0007666324342024009,nan
Mixed,2,Discontinuous,SecondOrder,Barycentric,128,24408,0.006400794772021405,Density,0.00032326622442075786,nan
Mixed,2,Discontinuous,SecondOrder,Barycentric,128,24408,0.006400794772021405,Momentum_x,0.004146545592594052,nan
Mixed,2,Discontinuous,SecondOrder,Barycentric,128,24408,0.006400794772021405,Momentum_y,0.004146545592594052,nan
Mixed,2,Discontinuous,SecondOrder,Barycentric,128,24408,0.006400794772021405,Energy,0.0006947711639377908,nan
Mixed,2,Discontinuous,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Density,0.00013322027572422652,nan
Mixed,2,Discontinuous,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_x,0.0017258454782642459,nan
Mixed,2,Discontinuous,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_y,0.0017258454782642459,nan
