grid,dim,solution,interp_order,method,resolution,n_points,h,h_nominal,case,ref_source,field,L1,L2,Linf,rel_L1,rel_L2,rel_Linf,order_L2
Mixed,2,Asym,SecondOrder,Barycentric,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_Barycentric_256,reference_file,Energy,75.79834718337955,103.61945792827849,838.8727615713142,7.819674375437813e-05,0.000102255952541089,0.0004504090721682144,2.052154886592832
Mixed,2,Asym,SecondOrder,Barycentric,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_Barycentric_64,reference_file,ALL_FIELDS,302.40467609636096,843.5249025781935,9733.808204042958,0.001249237200877114,0.0016676180096106877,0.005227059969971776,nan
Mixed,2,Asym,SecondOrder,Barycentric,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_Barycentric_128,reference_file,ALL_FIELDS,77.38686700709098,212.10658231838806,3569.2279638387263,0.0003192119305838191,0.00041863213207121475,0.0019166975358542017,1.9848206194032967
Mixed,2,Asym,SecondOrder,Barycentric,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_Barycentric_256,reference_file,ALL_FIELDS,18.95721212757666,51.80973144936389,838.8727615713142,7.822093216371076e-05,0.00010225595706045705,0.0004504090721682144,2.0521548865740606
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_64,reference_file,Density,0.0013594219630059861,0.0019173063726025134,0.010353839449047886,0.0005649720650207834,0.0007879012432971692,0.0030769462486804466,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_128,reference_file,Density,0.0003460996308546209,0.0004873130906525826,0.0035839194292695,0.00014374138096643566,0.00020010979644062676,0.0010650720097981532,1.9693923746600317
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_256,reference_file,Density,8.395890567447838e-05,0.00011810063923262289,0.0008593921701587348,3.487825114132039e-05,4.850463098995339e-05,0.0002553752028646835,2.063596751284367
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_64,reference_file,Momentum_x,0.2936060472461674,0.4421801039416188,3.3601896255082124,0.00508956297639712,0.005661276072405801,0.012417912290803504,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_128,reference_file,Momentum_x,0.07506091285552678,0.1117161918483214,1.1773879001313219,0.0012888942348819592,0.001424274986988035,0.004351254331559361,1.9779986056293182
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_256,reference_file,Momentum_x,0.018133542846575493,0.0270671750652364,0.28597281630709404,0.0003098564728731028,0.00034397696964145265,0.0010565006888553947,2.063990195764688
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_64,reference_file,Momentum_y,0.1468030236230837,0.2210900519708094,1.6800948127541062,0.00508956297639712,0.005661276072405801,0.012417912290803504,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_128,reference_file,Momentum_y,0.03753045642776339,0.0558580959241607,0.5886939500656609,0.0012888942348819592,0.001424274986988035,0.004351254331559361,1.9779986056293182
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_256,reference_file,Momentum_y,0.009066771423287746,0.0135335875326182,0.14298640815354702,0.0003098564728731028,0.00034397696964145265,0.0010565006888553947,2.063990195764688
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_64,reference_file,Energy,1095.2326682610708,1591.7904538994778,10876.650036212057,0.001131208595207343,0.0015734558815233932,0.005840766616714528,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_128,reference_file,Energy,279.8677254798245,403.6831390906463,3790.1595833355095,0.0002886322663573222,0.0003983722051076497,0.002035339184684704,1.9725766214197393
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_256,reference_file,Energy,67.67513498330588,97.75355236722044,897.1485386444256,6.981649845252699e-05,9.646723512589815e-05,0.0004816986072250163,2.0647775781195588
